"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 0, 2, 4",3.55231686097104e-06,0.0261728792423911,0.110011988440265,0.122905824860952,848,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 0, 3, 4",3.68086253078654e-06,0.0261717371160939,0.122911393377705,0.172168543575472,3378,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 3, 4, 18, 0, 3, 4",3.99602177487686e-06,0.026177314498736,0.172195894979767,0.251637533058533,5197,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 3, 4, 18, 0, 4, 4",1.67623925968073e-06,0.0261745344104986,0.251748477802513,0.334491590013034,5494,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4",1.02977631081361e-05,0.026177614849966,0.334519999632487,0.389888526978104,3614,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4",8.78701970446855e-08,0.0261800369847298,0.389913829426396,0.645854242030754,16698,0.1,10,3,18
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 0, 4, 4",5.10981261113193e-06,0.0261814642584312,0.64587128746715,0.99998742023157,23150,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 1, 2, 4",0.0261889433300198,0.0412205712541047,0.110061191254153,0.122897315134702,514,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 2, 4, 18, 1, 3, 4",0.0261867192873695,0.0412632013148914,0.123007277938834,0.172155460892908,1821,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3, 15, 0, 3, 4, 18, 1, 3, 4",0.0261939634796397,0.0412622126238348,0.172202880876189,0.251725050595299,3075,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 3, 4, 18, 1, 4, 4",0.0261847236280693,0.0412689153922677,0.251743469615924,0.334469812364181,3129,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 1, 4, 4",0.0261829925339648,0.0412607313800442,0.334645477128118,0.38987058111586,2061,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 1, 4, 4",0.0261821414456811,0.0412725433091631,0.389949429251138,0.645852951427357,9482,0.1,10,3,18
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3, 15, 0, 4, 4, 18, 1, 4, 4",0.0261831481810944,0.0412725288038285,0.64592704828135,0.999921992150421,13443,0.1,10,3,18
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3, 15, 1, 2, 4, 18, 1, 2, 4",0.0412953357067207,0.0684028995715756,0.110001743660252,0.122908045226855,949,0.1,10,3,18
