"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort"
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 0, 2, 3",6.60686558664311e-06,0.0684337528373524,0.110001688758793,0.122910118280827,2114,0.1,9
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 0, 2, 3",6.48153297649697e-06,0.0684674728275624,0.122912408845161,0.251740875417181,21777,0.1,9
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 0, 3, 3",5.4010601720307e-06,0.0684697416900668,0.251748178359055,0.389893391624616,23606,0.1,9
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",8.97840630216524e-07,0.0684697680231862,0.389910967425876,0.645860393508808,43990,0.1,9
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 0, 3, 3",6.05172803811729e-07,0.0684715448219004,0.645864029158905,0.999989742018491,60434,0.1,9
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 1, 3, 12, 1, 2, 3",0.0684913485151725,0.0899599200404946,0.11000505430209,0.122907387876172,700,0.1,9
"3, 0, 1, 2, 6, 0, 1, 2, 9, 0, 2, 3, 12, 1, 2, 3",0.0684717404460115,0.0899956748055139,0.122966013415011,0.251713478960161,6850,0.1,9
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 2, 3, 12, 1, 3, 3",0.0684751546944389,0.0899997698500625,0.251742853336562,0.389851419877791,7423,0.1,9
"3, 0, 1, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684719010291459,0.0899985024144382,0.389910202158202,0.645861628163008,13949,0.1,9
"3, 0, 2, 2, 6, 0, 2, 2, 9, 0, 3, 3, 12, 1, 3, 3",0.0684724198684334,0.0899995435621862,0.645875204749162,0.999929496677044,19159,0.1,9
