"boundary","p.saf.min","p.saf.max","p.tox.min","p.tox.max","sim.freq","target","ncohort","cohortsize","n.earlystop"
"3, 0, 1, 2, 6, 0, 1, 3, 9, 0, 2, 3, 12, 0, 2, 4",5.32847706761677e-06,0.0387666972002003,0.165012639239672,0.184251497636975,1389,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 2, 3, 12, 0, 3, 4",3.05775116307195e-06,0.0387854511023258,0.184291325234739,0.307824314187672,8536,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 3, 12, 0, 3, 4",2.51435972764157e-06,0.0387266100765152,0.307855253034282,0.372071193062317,4560,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 3, 12, 0, 4, 4",1.12652703523636e-06,0.0387857594164586,0.372101906889778,0.560131130568098,12835,0.15,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 3, 3, 12, 0, 4, 4",1.31805339502171e-07,0.0387845020270474,0.560140229297543,0.999988119107672,30337,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 1, 3, 9, 0, 2, 3, 12, 1, 2, 4",0.0387919290867979,0.0788424986878442,0.165004023203019,0.18426703899912,1351,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 2, 3, 12, 1, 3, 4",0.0387940015459,0.0788464063983468,0.184278837760448,0.307809602249673,8863,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 3, 12, 1, 3, 4",0.0388030306307508,0.0788361704948669,0.307831214181193,0.372062227721532,4588,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 0, 3, 3, 12, 1, 4, 4",0.0387868059312965,0.0788459176987931,0.372133751552259,0.560102720960472,13194,0.15,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 0, 3, 3, 12, 1, 4, 4",0.0387880007358725,0.0788487440397338,0.560143652478037,0.999967202024202,31535,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 1, 3, 9, 1, 2, 3, 12, 1, 2, 4",0.0789018699734507,0.134953754927288,0.1650009277549,0.18426293521981,2020,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 2, 3, 12, 1, 3, 4",0.0788521007103194,0.134996767158607,0.18430304720853,0.30780198069079,12058,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 3, 12, 1, 3, 4",0.0788562198541886,0.134988944228818,0.307848145437343,0.37206887301,6375,0.15,10,3,12
"3, 0, 1, 2, 6, 0, 2, 3, 9, 1, 3, 3, 12, 1, 4, 4",0.0788511030898841,0.134993862411999,0.372098933945488,0.560136329955156,18685,0.15,10,3,12
"3, 0, 2, 2, 6, 0, 3, 3, 9, 1, 3, 3, 12, 1, 4, 4",0.0788542267087924,0.134998589243443,0.560139384040915,0.999996294011798,43676,0.15,10,3,12
